cust_1001,BKJharn1,Paul1,US
cust_1002,BKJharn2,Paul2,UK
cust_1003,BKJharn3,Paul3,US
cust_1004,BKJharn4,Paul4,JPN
cust_1005,BKJharn5,Paul5,US
cust_1006,BKJharn6,Paul6,JPN
cust_1007,BKJharn7,Paul7,US
cust_1008,BKJharn8,Paul8,US
cust_1009,BKJharn9,Paul9,US
cust_1010,BKJharn10,Paul10,UK
cust_1011,BKJharn11,Paul11,CAN
cust_1012,BKJharn12,Paul12,CAN
cust_1013,BKJharn13,Paul13,UK
cust_1014,BKJharn14,Paul14,UK
cust_1015,BKJharn15,Paul15,UK
cust_1016,BKJharn16,Paul16,CAN
cust_1017,BKJharn17,Paul17,CAN
cust_1018,BKJharn18,Paul18,JPN
cust_1019,BKJharn19,Paul19,JPN
cust_1020,BKJharn20,Paul20,UK
cust_1021,BKJharn21,Paul21,UK
cust_1022,BKJharn22,Paul22,UK
cust_1023,BKJharn23,Paul23,JPN
cust_1024,BKJharn24,Paul24,CAN
cust_1025,BKJharn25,Paul25,JPN
cust_1026,BKJharn26,Paul26,JPN
cust_1027,BKJharn27,Paul27,UK
cust_1028,BKJharn28,Paul28,UK
cust_1029,BKJharn29,Paul29,UK
cust_1030,BKJharn30,Paul30,IND
cust_1031,BKJharn31,Paul31,JPN
cust_1032,BKJharn32,Paul32,US
cust_1033,BKJharn33,Paul33,US
cust_1034,BKJharn34,Paul34,US
cust_1035,BKJharn35,Paul35,US
cust_1036,BKJharn36,Paul36,JPN
cust_1037,BKJharn37,Paul37,JPN
cust_1038,BKJharn38,Paul38,JPN
cust_1039,BKJharn39,Paul39,CAN
cust_1040,BKJharn40,Paul40,JPN
cust_1041,BKJharn41,Paul41,CAN
cust_1042,BKJharn42,Paul42,JPN
cust_1043,BKJharn43,Paul43,JPN
cust_1044,BKJharn44,Paul44,JPN
