cust_1001,BKJharn1,Paul1,US
cust_1002,BKJharn2,Paul2,US
cust_1003,BKJharn3,Paul3,US
cust_1004,BKJharn4,Paul4,US
cust_1005,BKJharn5,Paul5,US
cust_1006,BKJharn6,Paul6,US
cust_1007,BKJharn7,Paul7,US
cust_1008,BKJharn8,Paul8,US
cust_1009,BKJharn9,Paul9,US
cust_1010,BKJharn10,Paul10,UK
cust_1011,BKJharn11,Paul11,UK
cust_1012,BKJharn12,Paul12,UK
cust_1013,BKJharn13,Paul13,UK
cust_1014,BKJharn14,Paul14,UK
cust_1015,BKJharn15,Paul15,UK
cust_1016,BKJharn16,Paul16,JPN
cust_1017,BKJharn17,Paul17,JPN
cust_1018,BKJharn18,Paul18,JPN
cust_1019,BKJharn19,Paul19,JPN
